Digital Data Manager,Digital Data Manager
Digital Data Layer,Digital Data Layer
Configuration,Конфигурация
Digital Data Layer Configuration,Конфигурация Digital Data Layer
Digital Data Manager Configuration,Конфигурация Digital Data Manager
Enable Digital Data Manager,Включить Digital Data Manager
Manage Digital Data Layer,Управление Digital Data Layer
Project ID,ИД проекта
